Task A3: Temperatures for russia within 10.0-50.0
Temperature,Year,Month,Country_Code
11.3(C) 52.33(F),2004,Jun,Russia,RUS
11.38(C) 52.49(F),2003,Jun,Russia,RUS
11.51(C) 52.71(F),2007,Jun,Russia,RUS
11.8(C) 53.23(F),2009,Jun,Russia,RUS
11.89(C) 53.4(F),2008,Jun,Russia,RUS
11.98(C) 53.56(F),2004,Aug,Russia,RUS
11.99(C) 53.59(F),2014,Jun,Russia,RUS
12.23(C) 54.02(F),2005,Jun,Russia,RUS
12.24(C) 54.03(F),2006,Aug,Russia,RUS
12.25(C) 54.04(F),2012,Aug,Russia,RUS
12.27(C) 54.08(F),2010,Jun,Russia,RUS
12.34(C) 54.21(F),2000,Jun,Russia,RUS
12.35(C) 54.23(F),2001,Jun,Russia,RUS
12.39(C) 54.3(F),2002,Jun,Russia,RUS
12.42(C) 54.35(F),2009,Aug,Russia,RUS
12.52(C) 54.53(F),2005,Aug,Russia,RUS
12.53(C) 54.55(F),2013,Jun,Russia,RUS
12.55(C) 54.58(F),2015,Aug,Russia,RUS
12.63(C) 54.74(F),2002,Aug,Russia,RUS
12.66(C) 54.79(F),2011,Aug,Russia,RUS
12.8(C) 55.04(F),2006,Jun,Russia,RUS
12.88(C) 55.18(F),2000,Aug,Russia,RUS
12.92(C) 55.25(F),2008,Aug,Russia,RUS
12.95(C) 55.32(F),2011,Jun,Russia,RUS
12.97(C) 55.34(F),2010,Aug,Russia,RUS
12.97(C) 55.35(F),2015,Jun,Russia,RUS
13.02(C) 55.44(F),2001,Aug,Russia,RUS
13.05(C) 55.5(F),2016,Jun,Russia,RUS
13.06(C) 55.5(F),2013,Aug,Russia,RUS
13.42(C) 56.16(F),2014,Aug,Russia,RUS
13.45(C) 56.21(F),2003,Aug,Russia,RUS
13.49(C) 56.29(F),2012,Jun,Russia,RUS
13.55(C) 56.39(F),2007,Aug,Russia,RUS
13.55(C) 56.39(F),2016,Aug,Russia,RUS
14.87(C) 58.76(F),2009,Jul,Russia,RUS
14.9(C) 58.82(F),2014,Jul,Russia,RUS
15.01(C) 59.02(F),2000,Jul,Russia,RUS
15.04(C) 59.07(F),2006,Jul,Russia,RUS
15.1(C) 59.18(F),2004,Jul,Russia,RUS
15.11(C) 59.2(F),2008,Jul,Russia,RUS
15.16(C) 59.29(F),2015,Jul,Russia,RUS
15.55(C) 59.99(F),2003,Jul,Russia,RUS
15.59(C) 60.07(F),2013,Jul,Russia,RUS
15.67(C) 60.21(F),2007,Jul,Russia,RUS
15.72(C) 60.3(F),2002,Jul,Russia,RUS
15.78(C) 60.4(F),2011,Jul,Russia,RUS
15.85(C) 60.53(F),2005,Jul,Russia,RUS
16.01(C) 60.82(F),2001,Jul,Russia,RUS
16.04(C) 60.87(F),2016,Jul,Russia,RUS
16.14(C) 61.04(F),2010,Jul,Russia,RUS
16.19(C) 61.14(F),2012,Jul,Russia,RUS
