Task D1: Top 50 temperature deltas throughout all data
Temperature,Year,Month,Country_Code
10.57(C) 51.03(F),20062012,Dec,Finland,FIN
10.69(C) 51.24(F),20102015,Dec,Denmark,DNK
10.71(C) 51.27(F),20072010,Jan,Latvia,LVA
10.74(C) 51.33(F),20082010,Jan,Estonia,EST
10.74(C) 51.34(F),20122015,Dec,Kazakhstan,KAZ
10.75(C) 51.34(F),20102014,Feb,Finland,FIN
10.8(C) 51.43(F),20082012,Feb,Belarus,BLR
10.84(C) 51.51(F),20022015,Dec,Belarus,BLR
10.88(C) 51.59(F),20022010,Feb,Kazakhstan,KAZ
10.92(C) 51.65(F),20022007,Dec,Finland,FIN
10.96(C) 51.72(F),20022015,Dec,Kazakhstan,KAZ
11.12(C) 52.02(F),20042012,Feb,Kazakhstan,KAZ
11.14(C) 52.05(F),20062010,Dec,Sweden,SWE
11.14(C) 52.06(F),20042014,Feb,Uzbekistan,UZB
11.19(C) 52.14(F),20082015,Jan,Uzbekistan,UZB
11.21(C) 52.18(F),20022011,Dec,Finland,FIN
11.23(C) 52.21(F),20072010,Jan,Lithuania,LTU
11.24(C) 52.23(F),20022005,Feb,Mongolia,MNG
11.27(C) 52.29(F),20082010,Jan,Uzbekistan,UZB
11.32(C) 52.38(F),20002008,Jan,Uzbekistan,UZB
11.36(C) 52.46(F),20022005,Feb,Kazakhstan,KAZ
11.42(C) 52.55(F),20062010,Dec,Estonia,EST
11.44(C) 52.6(F),20072010,Dec,Finland,FIN
11.49(C) 52.69(F),20022006,Dec,Estonia,EST
11.5(C) 52.7(F),20082010,Jan,Turkmenistan,TKM
11.51(C) 52.71(F),20042005,Feb,Mongolia,MNG
11.56(C) 52.8(F),20022006,Dec,Lithuania,LTU
11.57(C) 52.82(F),20072010,Jan,Belarus,BLR
11.7(C) 53.05(F),20022006,Dec,Belarus,BLR
11.72(C) 53.1(F),20082013,Jan,Uzbekistan,UZB
11.74(C) 53.13(F),20102011,Dec,Finland,FIN
11.74(C) 53.13(F),20062010,Dec,Finland,FIN
11.81(C) 53.26(F),20082013,Jan,Turkmenistan,TKM
11.82(C) 53.28(F),20032008,Jan,Uzbekistan,UZB
11.94(C) 53.49(F),20022012,Feb,Belarus,BLR
11.94(C) 53.5(F),20022008,Jan,Turkmenistan,TKM
12.02(C) 53.63(F),20072008,Jan,Kazakhstan,KAZ
12.08(C) 53.74(F),20062007,Jan,Kazakhstan,KAZ
12.1(C) 53.77(F),20022012,Feb,Ukraine,UKR
12.1(C) 53.78(F),20022014,Feb,Kazakhstan,KAZ
12.25(C) 54.05(F),20042008,Jan,Turkmenistan,TKM
12.29(C) 54.12(F),20072014,Feb,Finland,FIN
12.46(C) 54.42(F),20112014,Feb,Finland,FIN
12.68(C) 54.82(F),20072008,Jan,Uzbekistan,UZB
12.74(C) 54.93(F),20022008,Jan,Kazakhstan,KAZ
12.8(C) 55.04(F),20022006,Jan,Kazakhstan,KAZ
13.56(C) 56.4(F),20022012,Feb,Kazakhstan,KAZ
13.6(C) 56.48(F),20042008,Jan,Uzbekistan,UZB
13.93(C) 57.08(F),20052007,Feb,Mongolia,MNG
14.22(C) 57.6(F),20022008,Jan,Uzbekistan,UZB
